BOROUGH,PICKUP_HOUR,FRANJA,AVG_SPEED,TOTAL_TRIPS
Staten Island,7,Diurno,17.608064203,261
Staten Island,8,Diurno,19.062942871,204
Staten Island,9,Diurno,23.891216954,78
Staten Island,10,Diurno,23.278200148,56
Staten Island,11,Diurno,23.216349195,69
Staten Island,12,Diurno,26.573400107,97
Staten Island,13,Diurno,29.191431581,156
Staten Island,14,Diurno,28.696729033,169
Staten Island,15,Diurno,27.18287143,207
Staten Island,16,Diurno,24.117010673,135
Staten Island,17,Diurno,24.086318133,88
Staten Island,18,Diurno,21.693272885,61
Staten Island,19,Nocturno,25.787475982,58
Staten Island,20,Nocturno,23.372718392,77
Staten Island,21,Nocturno,25.501720337,93
Staten Island,22,Nocturno,25.344857199,112
Staten Island,23,Nocturno,26.266305874,147
